Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Year
39.0,39.0,PHI,Jerami Grant,Syracuse,12.0,732,20416,9666,2865,1180,.449,.365,.755,27.9,13.2,3.9,1.6,37.7,.089,-0.4,8.1,2014
40.0,40.0,MIN,Glenn Robinson III,Michigan,7.0,304,5299,1804,776,238,.457,.373,.779,17.4,5.9,2.6,0.8,7.9,.071,-1.7,0.4,2014
41.0,41.0,DEN,Nikola JokiÄ,,11.0,758,24097,16590,8315,5527,.561,.360,.824,31.8,21.9,11.0,7.3,132.1,.263,10.5,75.7,2014
42.0,42.0,HOU,Nick Johnson,Arizona,1.0,28,262,74,39,11,.347,.238,.680,9.4,2.6,1.4,0.4,-0.1,-.020,-6.5,-0.3,2014
43.0,43.0,ATL,Edy Tavares,,2.0,13,101,33,32,4,.625,,.273,7.8,2.5,2.5,0.3,0.2,.118,-0.4,0.0,2014
44.0,44.0,MIN,Markel Brown,Oklahoma State,3.0,113,1794,584,234,132,.380,.295,.781,15.9,5.2,2.1,1.2,1.1,.029,-2.9,-0.4,2014
45.0,45.0,CHO,Dwight Powell,Stanford,12.0,717,12679,4781,3021,740,.604,.294,.738,17.7,6.7,4.2,1.0,48.3,.183,0.8,8.9,2014
46.0,46.0,WAS,Jordan Clarkson,Missouri,12.0,766,21056,12167,2547,2233,.437,.337,.830,27.5,15.9,3.3,2.9,24.6,.056,-0.9,5.6,2014
47.0,47.0,PHI,Russ Smith,Louisville,2.0,27,131,53,15,19,.319,.188,.769,4.9,2.0,0.6,0.7,-0.2,-.068,-5.1,-0.1,2014
48.0,48.0,MIL,Lamar Patterson,Pitt,2.0,40,435,93,57,45,.326,.236,.720,10.9,2.3,1.4,1.1,0.1,.006,-5.7,-0.4,2014
49.0,49.0,CHI,Cameron Bairstow,New Mexico,2.0,36,167,44,36,7,.296,.200,.846,4.6,1.2,1.0,0.2,-0.1,-.021,-8.1,-0.3,2014
50.0,50.0,PHO,Alec Brown,Green Bay,,,,,,,,,,,,,,,,,,2014
51.0,51.0,NYK,Thanasis Antetokounmpo,,7.0,202,1529,483,308,115,.509,.143,.529,7.6,2.4,1.5,0.6,1.9,.060,-4.2,-0.9,2014
52.0,52.0,PHI,Vasilije MiciÄ,,2.0,101,1961,691,177,390,.395,.315,.819,19.4,6.8,1.8,3.9,-0.6,-.015,-5.6,-1.8,2014
53.0,53.0,MIN,Alessandro Gentile,,,,,,,,,,,,,,,,,,,2014
54.0,54.0,PHI,Nemanja DangubiÄ,,,,,,,,,,,,,,,,,,,2014
55.0,55.0,MIA,Semaj Christon,Xavier,1.0,64,973,183,87,130,.345,.190,.548,15.2,2.9,1.4,2.0,0.1,.006,-5.1,-0.8,2014
